iter	Passed	Remaining
0	0	70
1	1	66
2	2	65
3	2	61
4	3	62
5	3	61
6	4	60
7	5	59
8	5	59
9	6	59
10	7	58
11	7	57
12	8	56
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	47
23	14	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	19	44
30	19	43
31	20	43
32	21	42
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
